id,ingri,price,subscribe,bigcat,smallcat,imageurl,quantity,keyword
117,[VIRTO] 냉동 혼합 감자당근,"4,200원","감자 80%, 당근 20% / 1kg",채소,,https://img-cf.kurly.com/shop/data/goods/1609820019685l0.jpg,,감자당근
118,[VIRTO] 냉동 4종 혼합야채,"4,200원","그린빈스, 옥수수, 당근, 완두콩 / 1kg",채소,,https://img-cf.kurly.com/shop/data/goods/1609819862743l0.jpg,,혼합야채
119,[아르도] 컬리플라워 다이스,"3,900원",쌀 대신 가볍게 즐기는 야채라이스,채소,,https://img-cf.kurly.com/shop/data/goods/1608017247259l0.jpg,,컬리플라워
120,[아르도] 레인보우베지터블,"4,500원",알록달록 야채 라이스 한그릇,채소,,https://img-cf.kurly.com/shop/data/goods/1608017349352l0.jpg,,야채라이스
121,매운맛 불고추 80g,"2,980원",화끈하게 매운맛,채소,,https://img-cf.kurly.com/shop/data/goods/1610430982517l0.jpg,80g,불고추
122,청경채 300g,"4,390원",아삭함과 부드러움을 동시에 지닌,채소,,https://img-cf.kurly.com/shop/data/goods/1608614513936l0.jpg,300g,청경채
123,친환경 세척 당근 500g,"3,990원",손쉽게 사용하는 주황빛 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1608190610850l0.jpg,500g,당근
124,생 네잎 클로버 10입,"3,490원",행운과 희망의 상징,채소,,https://img-cf.kurly.com/shop/data/goods/1604645917566l0.jpg,10입,클로버
125,유기농 오이 2입,"3,900원",안심하고 즐길 수 있는 수분 채소,채소,,https://img-cf.kurly.com/shop/data/goods/160819042132l0.jpg,2입,오이
126,유기농 다진 표고버섯 100g,"4,550원",진한 향과 부드러운 감칠맛 가득,채소,,https://img-cf.kurly.com/shop/data/goods/1607575088116l0.jpg,100g,표고버섯
127,유기농 다진 적양배추 100g,"3,000원",편리하게 꺼내 쓰는 보랏빛 채소,채소,,https://img-cf.kurly.com/shop/data/goods/160756952871l0.jpg,100g,적양배추
128,유기농 다진 양배추 100g,"2,900원",속이 편한 한 그릇 뚝딱 완성,채소,,https://img-cf.kurly.com/shop/data/goods/1607574474601l0.jpg,100g,양배추
129,유기농 다진 브로콜리 90g,"2,900원",비타민 가득한 이유식 필수 재료,채소,,https://img-cf.kurly.com/shop/data/goods/160757599187l0.jpg,90g,브로콜리
130,유기농 다진 당근 100g,"2,900원",요리에 바로 더하는 주황빛 영양,채소,,https://img-cf.kurly.com/shop/data/goods/1607568736686l0.jpg,100g,당근
131,유기농 다진 단호박 100g,"2,900원",손쉽게 꺼내 쓰는 노란 영양,채소,,https://img-cf.kurly.com/shop/data/goods/1607567804340l0.jpg,100g,단호박
132,[기획특가] 해남 '햇' 꿀 밤고구마 1.5kg,"9,990원",황토에서 자란 달콤 해남 고구마,채소,,https://img-cf.kurly.com/shop/data/goods/1606199075497l0.jpg,1.5kg,밤고구마
133,[Kurly's] 국산콩 콩나물 250g (제주콩/무농약),"1,500원",1등급 제주콩을 맑은 물로 길러낸(1봉/250g),채소,,https://img-cf.kurly.com/shop/data/goods/1602482402986l0.jpg,250g,콩나물
134,영암 친환경 '햇' 꿀고구마 1kg,"9,900원",건강하게 즐기는 진한 달콤함,채소,,https://img-cf.kurly.com/shop/data/goods/1605508215818l0.jpg,1kg,꿀고구마
135,유기농 햇 깐마늘 200g,"5,490원",유기농으로 건강하게 자란 마늘,채소,,https://img-cf.kurly.com/shop/data/goods/1604293150266l0.jpg,200g,깐마늘
136,쑥갓 200g,"4,290원",향긋하게 번지는 고소함,채소,,https://img-cf.kurly.com/shop/data/goods/1604649514452l0.jpg,200g,쑥갓
137,아욱 200g,"5,190원",연하고 부드러운 잎채소,채소,,https://img-cf.kurly.com/shop/data/goods/1604649637724l0.jpg,200g,아욱
138,근대 200g,"3,590원",초록빛 영양이 듬뿍,채소,,https://img-cf.kurly.com/shop/data/goods/1604649803431l0.jpg,200g,근대
139,가시오이 2입,"3,690원",단단한 과육 속 단맛 가득,채소,,https://img-cf.kurly.com/shop/data/goods/1604904592985l0.jpg,2입,가시오이
140,취청오이 2입,"3,890원",반찬으로 좋은 연한 과육,채소,,https://img-cf.kurly.com/shop/data/goods/1604904228904l0.jpg,2입,취청오이
141,비트 2kg 박스,"6,490원",붉은 속살에 깃든 다채로운 영양,채소,,https://img-cf.kurly.com/shop/data/goods/160524771223l0.jpg,2kg,비트
142,비트 1kg,"3,490원",주스용으로 탁월한 영양 가득한 붉은빛 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1604471439837l0.jpg,1kg,비트
143,비트 1입,"2,590원",영양 만점 컬러푸드,채소,,https://img-cf.kurly.com/shop/data/goods/160447129149l0.jpg,1입,비트
144,영주 생강 300g,"3,990원",알차게 여문 신선한 생강,채소,,https://img-cf.kurly.com/shop/data/goods/1603341511420l0.jpg,300g,생강
145,[KC] 군옥수수 더블콘,"3,800원",불향을 입힌 달콤한 옥수수,채소,,https://img-cf.kurly.com/shop/data/goods/1604292544610l0.jpg,,군옥수수
146,캐롤라이너 리퍼 30g,"4,990원",세계에서 손꼽히는 매운 고추,채소,,https://img-cf.kurly.com/shop/data/goods/1603082930258l0.jpg,30g,캐롤라이너 리퍼
147,통 셀러리 1봉,"3,490원",통째로 누리는 싱그러움,채소,,https://img-cf.kurly.com/shop/data/goods/1600929685497l0.jpg,1봉,셀러리
148,[Kurly's] 무농약 국산 숙주나물 250g,"2,185원",무농약으로 아삭하게 길러낸 (1봉/250g),채소,,https://img-cf.kurly.com/shop/data/goods/1600829342493l0.jpg,250g,숙주나물
149,친환경 브라운 양송이 150g,"4,490원",진한 빛깔로 즐기는 맛과 향,채소,,https://img-cf.kurly.com/shop/data/goods/1600318281653l0.jpg,150g,양송이
150,전골용 모둠 버섯 400g,"3,990원",전골로 느낄 수 있는 다채로운 풍미,채소,,https://img-cf.kurly.com/shop/data/goods/1600334376407l0.jpg,400g,버섯
151,유기농 표고버섯 150g,"3,990원","풍부한 맛과 향, 건강까지 함께",채소,,https://img-cf.kurly.com/shop/data/goods/1599812489869l0.jpg,150g,표고버섯
152,참타리 버섯 200g,"1,000원",쫄깃한 식감으로 입맛을 돋구는,채소,,https://img-cf.kurly.com/shop/data/goods/1600317575153l0.jpg,200g,버섯
